Period, CPUAvg, person,concept,obs,encounter,
From 163385 To 163415,39.83,195,6,8,4,
From 163416 To 163446,49.57,267,7,9,7,
From 163486 To 163516,62.33,414,9,12,10,
From 163516 To 163546,34.6,203,6,6,8,
From 163586 To 163616,36.7,196,5,5,5,
From 163616 To 163646,49.0,309,8,13,12,
From 163687 To 163717,62.2,459,16,13,9,
From 163717 To 163747,44.77,237,9,6,7,
From 163787 To 163817,38.23,236,7,8,6,
From 163817 To 163847,73.6,493,12,13,12,
From 163887 To 163917,24.63,150,4,4,5,
From 163917 To 163947,34.8,233,9,4,3,
From 163988 To 164018,49.7,349,11,7,16,
From 164018 To 164048,29.47,187,4,7,6,
From 164088 To 164118,45.63,334,9,9,13,
From 164118 To 164148,59.1,417,6,19,9,
From 164188 To 164218,51.47,290,5,11,8,
From 164218 To 164248,49.03,282,9,9,8,
From 164289 To 164319,57.33,414,13,7,15,
From 164319 To 164349,63.8,405,16,13,6,
From 164389 To 164419,36.07,208,5,4,11,
From 164419 To 164449,36.73,145,2,4,2,
From 164490 To 164520,59.07,421,11,11,15,
From 164520 To 164550,65.4,430,12,11,14,
From 164590 To 164620,30.37,113,2,4,2,
From 164621 To 164651,60.77,443,7,14,17,
From 164691 To 164721,39.47,199,8,4,6,
From 164721 To 164751,53.5,339,5,8,5,
From 164791 To 164821,43.73,241,10,6,6,
From 164821 To 164851,34.37,241,4,11,6,
From 164892 To 164922,23.77,129,3,4,3,
From 164922 To 164952,47.0,325,5,13,10,
From 164992 To 165022,49.37,259,8,6,5,
From 165022 To 165052,44.5,305,11,5,8,
From 165092 To 165122,24.0,131,4,7,4,
From 165123 To 165153,16.83,100,2,0,3,
From 165193 To 165223,43.67,292,10,6,9,
From 165223 To 165253,39.8,272,5,8,12,
From 165293 To 165323,44.1,236,11,8,1,
From 165324 To 165354,26.23,175,7,3,6,
From 165394 To 165424,39.2,271,3,8,6,
From 165424 To 165454,48.2,287,8,12,7,
From 165494 To 165524,31.77,207,5,4,5,
From 165525 To 165555,30.07,200,5,4,7,
From 165595 To 165625,33.97,236,9,5,9,
From 165625 To 165655,43.17,315,13,8,9,
From 165695 To 165725,59.0,454,17,9,12,
From 165725 To 165755,48.93,327,10,7,9,
From 165796 To 165826,33.47,223,6,6,5,
From 165827 To 165857,32.43,185,7,9,9,
From 165897 To 165927,18.8,84,2,2,4,
From 165927 To 165957,49.5,331,13,5,14,
From 169997 To 170027,71.9,474,14,9,19,
From 170027 To 170057,57.07,360,7,10,8,
From 170098 To 170128,58.23,343,8,13,6,
From 170128 To 170158,50.2,289,4,10,11,
From 170198 To 170228,51.47,294,7,8,10,
