Period, CPUAvg, person,obs,encounter,concept,
From 210526 To 210556,59.0,315,3,16,11,
From 210596 To 210626,57.63,334,14,13,6,
From 210626 To 210656,46.27,253,8,6,9,
From 210696 To 210726,59.87,298,6,7,13,
From 210726 To 210756,63.73,336,14,6,7,
From 210797 To 210827,62.03,342,11,11,8,
From 210827 To 210857,56.6,281,7,9,11,
From 210897 To 210927,56.9,280,6,10,6,
From 210927 To 210957,79.43,303,4,8,14,
From 210997 To 211027,56.0,281,9,7,9,
From 211027 To 211057,56.07,306,9,14,9,
From 211097 To 211127,58.6,304,6,11,11,
From 211127 To 211157,48.23,268,5,8,14,
From 211197 To 211227,63.0,299,8,5,9,
From 211227 To 211257,53.33,281,13,9,5,
From 211298 To 211328,61.97,316,6,9,9,
From 211328 To 211358,60.5,316,9,10,6,
From 211398 To 211428,68.8,347,11,9,7,
From 211428 To 211458,48.87,255,5,6,9,
From 211498 To 211528,62.83,329,8,8,10,
From 211528 To 211558,57.83,278,3,5,9,
From 211598 To 211628,62.7,349,9,10,12,
From 211628 To 211658,54.07,284,6,12,9,
From 211698 To 211728,60.07,303,13,7,6,
From 211728 To 211758,51.77,282,12,9,6,
From 211799 To 211829,50.9,269,9,8,12,
From 211829 To 211859,54.6,293,9,7,12,
From 211899 To 211929,67.97,334,12,10,6,
From 211929 To 211959,53.27,286,7,5,11,
From 211999 To 212029,64.07,341,12,10,6,
From 212029 To 212059,57.2,293,8,9,6,
From 212099 To 212129,51.97,285,6,8,14,
From 212129 To 212159,72.13,324,9,7,4,
From 212199 To 212229,52.93,289,8,8,7,
From 212270 To 212300,70.7,355,9,10,8,
From 212300 To 212330,62.83,323,10,11,8,
From 212370 To 212400,52.67,255,5,6,8,
From 212400 To 212430,68.13,320,6,9,9,
From 212470 To 212500,62.17,310,4,11,15,
From 212500 To 212530,53.6,269,8,7,8,
From 212570 To 212600,68.2,323,10,7,7,
From 212600 To 212630,58.6,317,8,8,9,
From 212670 To 212700,53.13,261,4,6,11,
From 212700 To 212730,57.43,333,11,11,12,
From 212771 To 212801,59.8,347,14,12,8,
From 212801 To 212831,54.17,270,6,9,6,
From 212871 To 212901,60.33,321,10,6,15,
From 212901 To 212931,62.17,342,12,8,5,
From 212971 To 213001,50.2,295,9,10,9,
From 213001 To 213031,55.5,307,12,7,9,
From 213071 To 213101,52.7,278,6,8,15,
From 213101 To 213131,67.87,350,9,9,9,
From 213171 To 213201,57.63,322,11,8,13,
From 213202 To 213232,43.17,249,8,10,8,
From 213272 To 213302,61.9,326,15,10,10,
From 213302 To 213332,53.0,266,9,15,2,
From 213372 To 213402,53.93,268,9,8,7,
From 213402 To 213432,61.93,321,3,8,17,
From 213472 To 213502,41.37,256,10,10,11,
From 213502 To 213532,65.5,325,9,5,7,
From 213572 To 213602,49.77,254,7,9,5,
From 213602 To 213632,72.37,350,10,7,8,
From 213673 To 213703,53.6,269,8,10,8,
From 213703 To 213733,64.03,312,6,9,8,
From 213773 To 213803,50.97,276,8,7,10,
From 213803 To 213833,64.1,329,16,8,6,
From 213873 To 213903,58.4,294,6,10,12,
From 213903 To 213933,60.07,306,7,8,10,
From 213973 To 214003,60.6,320,15,9,6,
From 214003 To 214033,55.87,289,12,10,3,
From 214073 To 214103,60.9,303,4,12,6,
From 214103 To 214133,59.6,326,9,11,10,
From 214174 To 214204,59.37,307,9,8,8,
From 214204 To 214234,54.07,278,3,9,8,
From 214274 To 214304,66.37,323,7,8,10,
From 214304 To 214334,49.9,262,6,10,9,
From 214374 To 214404,46.23,268,11,9,6,
From 214404 To 214434,56.5,340,15,6,12,
From 214474 To 214504,52.03,272,12,6,11,
From 214504 To 214534,52.0,270,6,4,12,
From 214574 To 214604,63.63,322,6,7,16,
From 214605 To 214635,48.57,313,4,11,17,
