Period, CPUAvg, person,concept,obs,encounter,
From 185812 To 185842,124.57,2089,46,53,67,
From 185882 To 185912,126.7,2122,59,68,62,
From 185912 To 185942,130.27,2015,58,64,50,
From 189982 To 190012,124.63,2075,56,57,58,
From 190012 To 190042,124.97,2116,54,61,73,
From 190082 To 190112,131.6,2083,62,57,57,
From 190112 To 190142,125.27,2050,54,57,57,
From 190182 To 190212,132.27,2058,52,57,62,
From 190212 To 190242,127.2,2101,51,56,54,
From 190282 To 190312,125.17,2108,59,49,69,
From 190312 To 190342,130.53,2079,59,65,76,
From 190382 To 190412,126.43,2055,48,60,63,
From 190413 To 190443,126.17,2182,59,65,64,
From 190483 To 190513,131.4,2096,57,58,63,
From 190513 To 190543,125.7,2123,54,69,76,
From 190583 To 190613,130.53,2073,58,47,71,
From 190613 To 190643,125.1,2065,61,60,57,
From 190683 To 190713,126.9,2057,59,59,52,
From 190713 To 190743,133.53,2054,45,77,40,
From 190783 To 190813,125.97,2048,61,67,53,
From 190813 To 190843,130.37,2077,60,68,60,
From 190883 To 190913,126.17,2070,49,56,64,
From 190913 To 190943,130.2,2123,66,64,60,
From 190983 To 191013,127.87,2009,61,47,57,
From 191013 To 191043,125.3,2091,65,52,67,
From 191083 To 191113,132.7,2085,57,62,61,
From 191113 To 191143,125.97,2073,48,70,54,
From 191184 To 191214,130.43,2103,61,60,64,
From 191214 To 191244,124.93,2063,62,51,64,
From 191284 To 191314,125.57,2056,56,62,49,
From 191314 To 191344,131.73,2090,60,68,68,
From 191384 To 191414,126.3,2047,63,56,57,
From 191414 To 191444,132.67,2017,65,64,50,
From 191484 To 191514,125.63,2086,66,62,57,
From 191514 To 191544,131.2,2067,67,68,55,
From 191584 To 191614,125.97,2061,56,58,68,
From 191614 To 191644,127.3,2024,69,56,51,
From 191684 To 191714,132.27,2070,64,57,51,
From 191714 To 191744,126.37,2069,61,52,68,
From 191784 To 191814,130.67,2065,62,60,62,
From 191814 To 191844,124.9,2005,55,64,51,
From 191884 To 191914,123.93,2065,51,57,70,
From 191914 To 191944,130.5,2057,62,64,64,
From 191985 To 192015,125.97,2194,82,78,69,
From 192015 To 192045,129.53,1967,47,62,57,
From 192085 To 192115,124.47,2021,59,62,61,
From 192115 To 192145,125.53,2081,64,66,50,
From 192185 To 192215,132.97,2069,74,61,51,
From 192215 To 192245,125.73,2005,62,46,55,
From 192285 To 192315,130.23,2032,51,66,54,
From 192315 To 192345,126.27,2052,65,60,60,
From 192385 To 192415,130.63,2072,69,53,61,
From 192415 To 192445,124.2,1989,59,58,51,
From 192485 To 192515,125.0,1985,50,58,63,
From 192515 To 192545,132.03,2048,57,50,56,
From 192585 To 192615,125.93,2090,63,62,63,
From 192615 To 192645,133.37,2045,68,56,43,
From 192685 To 192715,125.7,1982,43,60,54,
From 192715 To 192745,122.47,1995,56,66,64,
From 192786 To 192816,132.47,2106,56,52,69,
From 192816 To 192846,124.13,2032,64,58,51,
From 192886 To 192916,130.23,2009,57,62,58,
From 192916 To 192946,125.97,2028,66,59,57,
From 192986 To 193016,124.6,2060,56,59,60,
From 193016 To 193046,131.9,2045,56,60,64,
From 193086 To 193116,126.43,1999,61,44,57,
From 193116 To 193146,126.43,2002,54,44,56,
From 193186 To 193216,130.93,2030,60,55,53,
From 193216 To 193246,126.47,2021,47,66,44,
From 193286 To 193316,132.4,2051,55,60,64,
From 193316 To 193346,124.6,1965,51,65,49,
From 193386 To 193416,127.47,2017,51,59,61,
From 193416 To 193446,131.87,2043,52,70,57,
From 193486 To 193516,124.2,2044,52,68,66,
From 193516 To 193546,131.1,1971,49,61,49,
From 193587 To 193617,124.87,2067,55,62,65,
From 193617 To 193647,131.97,2045,60,59,53,
From 193687 To 193717,126.47,2040,54,68,63,
From 193717 To 193747,126.4,1975,59,45,56,
