 CPUAvg,buy,main, AService:570,ItemDaoImpl:233,SearchController:32,SearchController:91,AController:54,ItemDaoImpl:280,AController:90,AController:114,AuthorDaoImpl:64,SearchController:70,AController:96,AController:134,AController:102,AService:468,DaoImpl:43,AController:108,AController:42
115.83,4043,678,0,16119,4029,4023,109660,0,26077,22073,1348,4023,26077,66219,26077,1348,63423,22073,22029
114.57,4022,659,0,15966,4049,4057,110156,0,26193,22178,1327,4057,26193,66534,26193,1327,63832,22178,22224
120.2,4246,692,0,16132,4094,4092,115377,0,27453,23199,1345,4092,27453,69597,27453,1345,66227,23199,23201
116.7,4217,695,0,16505,4128,4127,115108,0,27385,23155,1375,4127,27385,69465,27385,1375,66440,23155,23114
122.17,4277,706,0,16507,4250,4250,117038,0,27842,23567,1377,4250,27842,70701,27842,1377,67332,23567,23588
114.6,4023,662,0,15670,3983,3983,109663,0,26079,22062,1306,3983,26079,66184,26079,1306,63099,22062,21995
121.43,4243,736,0,16645,4230,4235,116531,0,27723,23449,1384,4235,27723,70349,27723,1384,67127,23449,23497
117.67,4187,675,0,15729,3983,3980,112351,0,26751,22604,1313,3980,26751,67812,26751,1313,64834,22604,22612
118.93,4123,695,0,16551,4129,4131,113666,0,27012,22857,1378,4131,27012,68571,27012,1378,65303,22857,22802
121.2,4242,696,0,17089,4250,4248,115328,0,27427,23216,1424,4248,27427,69648,27427,1424,67407,23216,23309
126.03,4379,753,0,17039,4339,4339,120028,0,28548,24159,1420,4339,28548,72477,28548,1420,68925,24159,24089
114.83,4049,642,0,16189,4029,4031,110300,0,26232,22173,1349,4031,26232,66519,26232,1349,63970,22173,22243
125.33,4322,702,0,17984,4444,4444,118566,0,28167,23854,1498,4444,28167,71562,28167,1498,69294,23854,23838
125.13,4341,731,0,17315,4297,4292,118663,0,28241,23885,1446,4292,28241,71655,28241,1446,68648,23885,23855
115.27,4191,711,0,16348,4188,4189,114718,0,27251,23086,1361,4189,27251,69258,27251,1361,65922,23086,23058
