Period,CPUAvg,ConceptServiceImpl:848,Concept:1220,BaseOpenmrsObject:81,BaseOpenmrsObject:64,BaseOpenmrsObject:66,BaseOpenmrsObject:70,Concept:1226,Encounter:69
From 1528480446 to 1528480475,105.93,246,1106,33780,1260880,145,230,1106,51
From 1528480476 to 1528480505,98.8,284,1392,13999,520576,112,198,1392,75
From 1528480506 to 1528480535,107.17,254,1207,23742,900581,131,219,1207,77
From 1528480536 to 1528480566,102.33,404,1203,25679,959261,140,235,1203,44
From 1528480567 to 1528480596,97.0,201,1125,24803,894481,136,226,1125,94
From 1528480597 to 1528480626,89.73,267,1406,20516,748323,117,196,1406,47
From 1528480627 to 1528480656,103.53,142,1389,38210,1420204,151,234,1389,69
From 1528480657 to 1528480686,109.0,158,1221,27876,1037128,137,224,1221,49
From 1528480687 to 1528480716,107.03,383,1398,31238,1159026,155,254,1398,42
From 1528480717 to 1528480746,104.83,368,757,29040,1081432,129,206,757,47
From 1528480747 to 1528480777,108.13,283,1642,37773,1426926,182,298,1642,68
From 1528480778 to 1528480807,109.3,288,1376,26663,989281,128,208,1376,58
From 1528480808 to 1528480837,103.4,268,1015,24200,892887,133,222,1015,64
From 1528480838 to 1528480867,99.87,264,879,25864,973208,129,212,879,71
From 1528480868 to 1528480897,98.47,224,1215,15000,552628,117,206,1215,67
From 1528480898 to 1528480927,89.13,212,899,28191,1018347,116,180,899,38
From 1528480928 to 1528480957,86.53,178,805,18358,675766,103,172,805,43
From 1528480958 to 1528480988,105.5,222,1453,27887,1036267,144,238,1453,56
From 1528480989 to 1528481018,99.37,260,1370,21273,803888,133,228,1370,92
From 1528481019 to 1528481048,99.47,274,1041,25874,974166,128,210,1041,53
From 1528481049 to 1528481078,100.73,252,693,30190,1122467,135,216,693,64
From 1528481079 to 1528481108,105.73,342,1642,24647,929591,142,242,1642,101
From 1528481109 to 1528481138,93.97,188,1209,26701,987976,132,214,1209,53
From 1528481139 to 1528481168,101.1,262,874,25821,970513,122,198,874,48
From 1528481169 to 1528481199,91.03,228,1314,16614,628097,115,200,1314,89
From 1528481200 to 1528481229,102.13,308,972,23676,895850,129,216,972,84
From 1528481230 to 1528481259,101.2,199,1519,20816,724645,122,208,1519,56
From 1528481260 to 1528481289,111.37,381,1232,31049,1142866,166,276,1232,68
From 1528481290 to 1528481319,102.7,296,1179,21938,811543,131,222,1179,75
From 1528481320 to 1528481349,103.97,303,983,24910,945129,143,242,983,90
From 1528481350 to 1528481379,101.93,249,1001,23903,912609,132,222,1001,84
From 1528481380 to 1528481410,103.3,345,525,24819,937697,136,228,525,85
From 1528481411 to 1528481440,109.6,295,1645,29393,1105352,158,264,1645,61
From 1528481441 to 1528481470,105.27,252,694,30579,1153731,132,210,694,71
From 1528481471 to 1528481500,108.17,190,987,33859,1264014,160,260,987,67
From 1528481501 to 1528481530,102.53,294,1115,25080,958983,125,206,1115,59
From 1528481531 to 1528481560,102.13,320,1058,20859,772923,128,218,1058,70
From 1528481561 to 1528481591,108.8,298,1193,26693,946719,131,216,1193,49
From 1528481592 to 1528481621,103.3,266,1364,24085,883692,130,216,1364,56
From 1528481622 to 1528481651,105.87,248,863,36948,1367002,153,240,863,57
From 1528481652 to 1528481681,103.47,208,1012,26650,1030838,135,224,1012,68
From 1528481682 to 1528481711,102.93,264,2132,20261,770955,138,239,2132,88
From 1528481712 to 1528481741,105.53,186,1248,23327,869732,120,199,1248,66
From 1528481742 to 1528481771,88.2,232,916,19813,738805,102,168,916,38
From 1528481772 to 1528481802,80.4,144,751,28116,1055890,117,184,751,63
From 1528481803 to 1528481832,86.13,168,544,16302,606956,99,168,544,76
From 1528481833 to 1528481862,95.47,215,1458,16229,601293,110,190,1458,58
From 1528481863 to 1528481892,101.8,217,859,22514,854294,115,190,859,56
