Period, CPUAvg, person,encounter,concept,obs,
From 151904 To 151934,84.47,710,15,20,19,
From 151975 To 152005,82.23,657,28,13,19,
From 152005 To 152035,72.8,428,8,14,14,
From 152075 To 152105,74.47,570,17,17,11,
From 152105 To 152135,82.37,607,18,16,13,
From 152175 To 152205,73.3,588,18,16,9,
From 152206 To 152236,77.9,597,19,12,12,
From 152276 To 152306,81.93,621,18,18,12,
From 152306 To 152336,82.2,704,20,24,23,
From 152376 To 152406,95.0,669,17,17,19,
From 152406 To 152436,88.13,682,26,18,16,
From 152476 To 152506,102.93,719,17,16,16,
From 152507 To 152537,97.73,773,25,20,25,
From 152577 To 152607,102.13,745,28,12,20,
From 152607 To 152637,93.13,743,24,21,20,
From 152677 To 152707,99.17,744,26,13,19,
From 152707 To 152737,95.3,712,19,21,20,
From 152778 To 152808,102.57,793,20,16,16,
From 152808 To 152838,97.57,794,23,33,16,
From 152878 To 152908,100.73,722,19,36,17,
From 152908 To 152938,97.73,789,26,19,18,
From 152978 To 153008,101.9,801,22,24,22,
From 153008 To 153038,104.83,720,21,18,26,
From 153079 To 153109,85.4,500,13,15,14,
From 153109 To 153139,49.83,397,7,11,13,
From 153179 To 153209,37.23,249,6,3,11,
From 153209 To 153239,57.07,416,12,7,10,
From 153279 To 153309,48.9,370,10,9,14,
From 153309 To 153339,52.57,411,17,13,10,
From 153380 To 153410,103.53,836,22,25,28,
From 153410 To 153440,95.6,686,23,21,16,
From 153480 To 153510,99.33,758,25,16,20,
From 153510 To 153540,97.2,764,25,20,18,
From 153580 To 153610,101.17,819,24,22,22,
From 153610 To 153640,98.93,722,20,20,20,
From 153681 To 153711,96.47,839,22,29,28,
From 153711 To 153741,86.13,650,16,27,12,
From 153781 To 153811,83.5,629,22,16,21,
From 153811 To 153841,82.13,587,18,15,20,
From 153881 To 153911,88.07,729,25,23,17,
From 153911 To 153941,104.9,810,22,32,25,
From 153982 To 154012,101.07,775,26,17,24,
From 154012 To 154042,96.9,763,18,28,28,
From 154082 To 154112,78.17,562,21,17,15,
From 154112 To 154142,51.4,330,5,8,11,
From 154182 To 154212,52.83,282,7,8,7,
