Period, CPUAvg, person,concept,obs,encounter,
From 162388 To 162418,99.63,468,12,13,10,
From 162418 To 162448,98.43,443,12,11,20,
From 162489 To 162519,102.37,480,11,16,12,
From 162519 To 162549,102.77,441,13,15,15,
From 162589 To 162619,82.5,367,9,20,9,
From 162619 To 162649,75.9,362,14,11,8,
From 162690 To 162720,75.2,301,8,7,11,
From 162720 To 162750,73.63,332,9,9,4,
From 162790 To 162820,82.8,362,12,13,12,
From 162820 To 162850,66.1,250,6,7,5,
From 162890 To 162920,65.4,269,6,11,8,
From 162921 To 162951,69.93,367,6,10,7,
From 162991 To 163021,106.07,564,18,27,11,
From 163021 To 163051,108.77,504,21,16,7,
From 163091 To 163121,98.17,518,15,12,17,
From 163121 To 163151,110.7,475,21,10,15,
From 163192 To 163222,99.17,565,18,16,24,
From 163222 To 163252,98.8,473,12,10,20,
From 163292 To 163322,86.83,366,7,12,11,
From 163322 To 163352,97.0,514,17,18,16,
From 163392 To 163422,94.87,439,12,11,16,
From 163423 To 163453,101.73,481,16,11,8,
From 163493 To 163523,102.0,422,11,11,9,
From 163523 To 163553,93.7,457,14,20,12,
From 163593 To 163623,98.3,487,13,11,13,
From 163623 To 163653,92.6,482,14,10,16,
From 163694 To 163724,93.0,483,16,15,16,
From 163724 To 163754,96.4,473,11,15,18,
From 163794 To 163824,100.87,521,15,12,18,
From 163824 To 163854,106.53,514,20,13,15,
From 163894 To 163924,101.53,529,13,16,16,
From 163925 To 163955,96.03,548,19,17,12,
From 163995 To 164025,95.6,442,12,8,12,
From 164025 To 164055,102.07,468,14,13,13,
From 164095 To 164125,103.2,527,16,14,15,
From 164125 To 164155,102.07,572,25,22,18,
From 164196 To 164226,108.27,543,19,20,10,
From 164226 To 164256,111.1,507,12,18,13,
