 CPUAvg,search,main, Customer:198,AddressDaoImpl:53,Address:195,AService:538,CustomerDaoImpl:65,AService:530,AService:515,Customer:234,Customer:223,AService:522,Customer:139,ShoppingCartDapImpl:44,AController:42,Customer:96,Customer:245,AController:89,Customer:113,Address:135,Address:77,DaoImpl:42,Address:96,Address:165,AController:101,AController:109,AController:108,Customer:126,AService:545,Customer:102,BuyController:55,BuyController:198,Customer:185,AService:508,Address:123,Address:149,ShoppingCart:64,Customer:210,Customer:273,Address:109,Customer:256,AController:54,Customer:160,Customer:148,Customer:88,Address:68,Address:83,CountryDaoImpl:56,AController:134,Customer:290,Customer:173,AController:96,Customer:278
127.57,4447,739,12998,8669,43394,8658,4329,4329,4329,12998,12998,4329,17327,17384,24012,39070,12998,28323,12998,21678,39065,69566,21678,21678,28323,23993,23993,17327,8696,8669,4329,12987,12998,4329,21678,21678,104267,12998,12998,21678,12998,119199,12998,12998,8669,13009,13009,13017,71979,12998,12998,28323,12998
124.5,4327,666,12783,8525,42524,8521,4280,4279,4280,12783,12783,4280,17035,16983,23430,38210,12783,27699,12783,21294,38245,67714,21293,21294,27699,23420,23420,17035,8492,8497,4280,12840,12783,4280,21294,21294,102014,12783,12783,21294,12783,116589,12794,12794,8525,12770,12759,12767,70260,12783,12783,27699,12783
136.13,4648,743,13931,9294,46506,9280,4631,4628,4631,13931,13931,4631,18577,18628,25487,41882,13931,30119,13931,23248,41878,73513,23245,23248,30119,25486,25486,18577,9309,9309,4631,13893,13931,4631,23248,23248,111609,13931,13931,23248,13931,126657,13928,13928,9294,13957,13958,13952,76458,13931,13931,30119,13931
126.83,4435,733,13092,8712,43522,8749,4364,4368,4364,13092,13092,4364,17469,17413,24038,39218,13092,28427,13092,21776,39154,69085,21780,21776,28427,24059,24059,17469,8728,8728,4364,13092,13092,4364,21776,21776,104357,13092,13092,21776,13092,119505,13084,13084,8715,13060,13065,13068,72177,13092,13092,28427,13092
129.67,4329,786,13194,8805,44136,8778,4389,4389,4389,13194,13194,4389,17583,17660,24180,39664,13194,28547,13194,22026,39747,69630,22026,22026,28547,24159,24159,17583,8811,8802,4389,13167,13194,4389,22026,22026,106167,13194,13194,22026,13194,119985,13194,13194,8802,13221,13226,13214,72477,13194,13194,28547,13194
127.03,4518,729,13555,9024,45053,9062,4531,4531,4531,13555,13555,4531,18086,18016,24804,40572,13555,29360,13555,22541,40522,71316,22541,22541,29360,24834,24834,18086,9037,9024,4531,13593,13555,4531,22541,22541,107982,13555,13555,22541,13555,123438,13555,13555,9024,13517,13517,13516,74502,13555,13555,29360,13555
132.7,4497,786,13642,9107,45597,9070,4535,4535,4535,13642,13642,4535,18177,18212,24990,41043,13642,29546,13642,22786,41062,71484,22786,22786,29546,25001,25001,18177,9061,9107,4535,13605,13642,4535,22786,22786,109280,13642,13642,22786,13642,124184,13642,13642,9107,13679,13678,13682,75003,13642,13642,29546,13642
124.27,4222,706,12824,8533,42584,8586,4297,4296,4297,12824,12824,4297,17116,17041,23480,38458,12824,27804,12824,21301,38288,67303,21300,21301,27804,23483,23483,17116,8571,8528,4297,12891,12824,4297,21301,21301,102566,12824,12824,21301,12824,116760,12827,12827,8533,12769,12767,12779,70449,12824,12824,27804,12824
121.5,4163,728,12609,8403,42026,8412,4204,4203,4204,12609,12609,4204,16816,16814,22988,37835,12609,27173,12609,21004,37823,65829,21003,21004,27173,22991,22991,16816,8414,8406,4204,12612,12609,4204,21004,21004,100769,12609,12609,21004,12609,114247,12608,12608,8403,12602,12603,12593,68973,12609,12609,27173,12609
124.87,4234,746,12714,8486,42426,8463,4236,4236,4236,12714,12714,4236,16945,16990,23371,38105,12714,27551,12714,21222,38190,67548,21222,21222,27551,23322,23322,16945,8476,8482,4236,12708,12714,4236,21222,21222,101802,12714,12714,21222,12714,115816,12718,12718,8487,12736,12732,12763,69966,12714,12714,27551,12714
127.93,4398,761,13195,8807,44116,8765,4376,4378,4376,13195,13195,4376,17578,17622,24180,39610,13195,28561,13195,22047,39738,69783,22049,22047,28561,24190,24190,17578,8774,8813,4376,13128,13195,4376,22047,22047,105759,13195,13195,22047,13195,120144,13189,13189,8806,13238,13244,13207,72570,13195,13195,28561,13195
129.77,4464,720,13402,8921,44544,8962,4481,4481,4481,13402,13402,4481,17883,17807,24499,40116,13402,29037,13402,22282,40063,70462,22282,22282,29037,24556,24556,17883,8931,8921,4481,13443,13402,4481,22282,22282,106825,13402,13402,22282,13402,122108,13402,13402,8921,13361,13361,13363,73668,13402,13402,29037,13402
129.13,4407,753,13351,8916,44614,8870,4435,4435,4435,13351,13351,4435,17786,17907,24561,40135,13351,28972,13351,22313,40179,70445,22313,22313,28972,24537,24537,17786,8948,8916,4435,13305,13351,4435,22313,22313,107414,13351,13351,22313,13351,121920,13351,13351,8916,13397,13393,13396,73611,13351,13351,28972,13351
128.53,4443,695,13230,8819,44124,8822,4411,4411,4411,13230,13230,4411,17641,17594,24242,39698,13230,28597,13230,22046,39713,69497,22046,22046,28597,24186,24186,17641,8771,8819,4411,13233,13230,4411,22046,22046,105426,13230,13230,22046,13230,120308,13230,13230,8819,13227,13231,13226,72558,13230,13230,28597,13230
