 CPUAvg,search,buy, AController:74,AController:98,DaoImpl:69,HomeController:69,AController:91,HomeController:107,ItemDaoImpl:86,AController:110,AController:111,HomeController:53,Item:118,AController:136,AController:104,Item:253,AController:43,AService:489,HomeController:91,AController:55
120.6,3900,4161,2070,27069,65217,680,27069,680,1390,22857,22857,7480,78560,68571,27069,78560,22903,1390,680,113572
128.97,4502,4342,2123,28242,68954,705,28242,705,1418,23924,23924,7755,89072,71772,28242,89072,23933,1418,705,118951
131.03,4475,4413,2160,28649,70545,706,28649,706,1453,24254,24254,7766,91144,72762,28649,91144,24257,1453,706,120496
128.8,4482,4333,2156,28240,69285,710,28240,709,1448,23925,23925,7799,89813,71775,28240,89812,23937,1448,709,118796
122.93,4228,4096,2066,26802,65670,693,26802,694,1372,22671,22671,7634,85797,68013,26802,85798,22640,1372,694,112720
121.33,4168,4042,2143,26633,65403,714,26633,714,1429,22565,22565,7854,85834,67695,26633,85834,22565,1429,714,112048
121.37,4096,4153,2025,26607,65397,682,26607,682,1343,22501,22501,7502,83144,67503,26607,83144,22555,1343,682,111830
109.83,3826,3727,1895,24376,59601,635,24376,635,1260,20662,20662,6985,77365,61986,24376,77365,20665,1260,635,102633
59.07,1865,1947,1014,12610,30544,341,12610,341,673,10662,10662,3751,37720,31986,12610,37720,10665,673,341,52912
124.63,4382,4370,2256,28417,69396,768,28417,768,1488,24028,24028,8448,90136,72084,28417,90136,23995,1488,768,119480
124.43,4135,4254,2119,27701,66704,724,27701,724,1395,23404,23404,7964,82613,70212,27701,82613,23414,1395,724,116395
124.13,4128,4225,2240,27444,66333,765,27444,765,1475,23221,23221,8415,83307,69663,27444,83307,23232,1475,765,115372
134.57,4576,4568,2221,29514,72318,720,29514,719,1502,24981,24981,7909,92782,74943,29514,92782,24986,1502,719,124084
127.2,4341,4288,2252,28003,68331,778,28003,777,1475,23717,23717,8547,87150,71151,28003,87150,23692,1475,777,117739
132.5,4462,4434,2252,28883,70362,755,28883,756,1496,24441,24441,8316,90519,73323,28883,90519,24437,1496,756,121490
120.9,4021,4156,2076,27015,65504,702,27015,701,1375,22824,22824,7711,82058,68472,27015,82058,22807,1375,701,113490
113.77,3931,3851,1961,24963,61450,657,24963,659,1302,21165,21165,7249,79956,63492,24963,79954,21159,1302,659,105063
128.93,4317,4290,2104,27822,67928,703,27822,700,1402,23534,23534,7700,87542,70605,27822,87544,23543,1402,700,117050
126.73,4285,4343,2166,28188,68604,722,28188,722,1445,23857,23857,7942,86230,71571,28188,86230,23849,1445,722,118511
116.8,4219,4023,2020,26447,64934,652,26447,655,1366,22408,22408,7205,84588,67224,26447,84588,22460,1366,655,111355
93.27,3106,3185,1617,20499,49772,540,20499,540,1077,17318,17318,5940,63065,51954,20499,63065,17319,1077,540,86032
123.7,4270,4167,2054,27206,66346,697,27206,696,1357,23036,23036,7656,84962,69108,27206,84962,23013,1357,696,114469
124.73,4165,4228,2282,27793,66941,781,27793,782,1501,23476,23476,8602,84391,70428,27793,84391,23456,1501,782,116683
124.43,4110,4283,2096,27175,66479,706,27175,705,1390,22996,22996,7755,83695,68988,27175,83694,23048,1390,705,114215
101.57,3643,3514,1714,22899,56186,560,22899,561,1154,19386,19386,6171,73290,58158,22899,73291,19391,1154,561,96417
120.5,4015,3940,1969,25865,63154,651,25865,651,1318,21899,21899,7161,80936,65697,25865,80936,21875,1318,651,108809
126.03,4274,4245,2056,27637,67042,669,27637,669,1386,23382,23382,7359,85389,70146,27637,85389,23314,1386,669,116254
