Period,CPUAvg,Person:608,Person:319,PersonAttribute:111,Format:45,Person:601,Encounter:381,Person:317,Format:49,Person:314,Person:599,Person:593,Person:606,Patient:52,Person:597
From 1533226037 to 1533226066,48.87,80,110,360,0,652,15,110,0,144,732,732,80,56,732
From 1533226067 to 1533226097,69.47,118,171,489,0,985,44,171,0,208,1103,1104,118,100,1103
From 1533226098 to 1533226127,51.47,126,119,264,0,780,15,119,0,146,906,907,126,50,906
From 1533226128 to 1533226157,61.17,106,170,296,0,754,32,170,0,202,860,861,106,72,860
From 1533226158 to 1533226187,66.83,94,189,360,0,921,30,189,0,224,1015,1016,94,80,1015
From 1533226188 to 1533226217,50.13,114,133,320,0,647,15,133,0,164,761,762,114,34,761
From 1533226218 to 1533226247,59.97,136,163,307,0,835,25,163,0,195,971,972,136,61,971
From 1533226248 to 1533226277,63.17,144,174,390,0,778,25,174,0,210,922,922,144,71,922
From 1533226278 to 1533226308,52.67,108,138,308,0,768,36,138,0,176,876,876,108,70,876
From 1533226309 to 1533226338,63.0,116,181,312,0,898,21,181,0,218,1014,1014,116,66,1014
From 1533226339 to 1533226368,48.27,120,126,348,0,671,15,126,0,151,791,791,120,37,791
From 1533226369 to 1533226398,58.0,156,171,323,0,799,18,171,0,209,955,956,156,54,955
From 1533226399 to 1533226428,62.57,120,166,300,0,754,22,166,0,199,874,876,120,84,874
From 1533226429 to 1533226458,42.9,94,113,284,0,657,49,113,0,142,751,752,94,54,751
From 1533226459 to 1533226489,52.33,98,121,291,1,735,17,121,1,161,833,833,98,75,833
From 1533226490 to 1533226519,73.1,98,215,414,0,968,32,215,0,243,1066,1066,98,68,1066
From 1533226520 to 1533226549,56.43,96,150,265,0,699,15,150,0,184,795,795,96,64,795
From 1533226550 to 1533226579,58.27,138,159,310,0,747,33,159,0,195,885,886,138,74,885
From 1533226580 to 1533226609,66.6,120,182,400,0,996,46,182,0,216,1116,1116,120,78,1116
From 1533226610 to 1533226639,49.57,106,109,308,0,597,16,109,0,128,703,703,106,50,703
From 1533226640 to 1533226669,71.47,140,210,337,0,940,32,210,0,256,1080,1080,140,73,1080
From 1533226670 to 1533226700,56.57,208,146,351,0,726,29,146,0,178,934,935,208,65,934
From 1533226701 to 1533226730,44.7,124,121,232,0,557,5,121,0,149,681,681,124,36,681
From 1533226731 to 1533226760,63.3,130,164,303,0,776,20,164,0,203,906,907,130,82,906
From 1533226761 to 1533226790,61.47,130,178,398,0,810,37,178,0,211,940,941,130,63,940
From 1533226791 to 1533226820,59.3,110,162,345,0,887,26,162,0,190,997,997,110,68,997
From 1533226821 to 1533226850,58.0,90,166,282,0,762,27,166,0,202,852,852,90,63,852
From 1533226851 to 1533226880,63.17,126,175,532,0,853,30,175,0,206,979,980,126,57,979
From 1533226881 to 1533226911,54.37,130,143,301,0,805,33,143,0,177,935,935,130,74,935
From 1533226912 to 1533226941,72.23,98,196,479,0,930,41,196,0,230,1028,1029,98,79,1028
From 1533226942 to 1533226971,57.77,100,170,350,0,930,49,170,0,202,1030,1030,100,57,1030
From 1533226972 to 1533227001,60.0,88,151,322,0,887,19,151,0,186,975,975,88,63,975
From 1533227002 to 1533227031,46.13,116,117,243,0,597,30,117,0,150,713,714,116,58,713
From 1533227032 to 1533227061,74.83,122,221,437,0,1029,25,221,0,252,1151,1152,122,80,1151
From 1533227062 to 1533227092,49.63,84,153,257,0,664,27,153,0,184,748,748,84,46,748
From 1533227093 to 1533227122,72.0,132,194,337,0,971,37,194,0,232,1103,1104,132,107,1103
From 1533227123 to 1533227152,57.97,160,145,391,0,663,21,145,0,174,823,823,160,63,823
From 1533227153 to 1533227182,51.7,98,154,261,0,775,20,154,0,184,873,873,98,32,873
From 1533227183 to 1533227212,65.47,120,163,341,0,863,31,163,0,202,983,983,120,97,983
From 1533227213 to 1533227242,58.1,124,145,370,0,803,17,145,0,182,927,927,124,59,927
From 1533227243 to 1533227272,47.97,138,118,271,0,592,15,118,0,144,730,731,138,52,730
From 1533227273 to 1533227303,46.93,150,134,286,0,633,22,134,0,168,783,800,150,60,783
From 1533227304 to 1533227333,70.73,84,242,419,0,944,27,242,0,260,1028,1029,84,48,1028
From 1533227334 to 1533227363,54.07,110,134,308,0,714,45,134,0,163,824,825,110,79,824
From 1533227364 to 1533227393,56.9,84,145,241,0,676,21,145,0,181,760,760,84,80,760
From 1533227394 to 1533227423,64.33,100,171,315,0,908,36,171,0,207,1008,1008,100,86,1008
From 1533227424 to 1533227453,47.17,124,118,245,0,566,2,118,0,144,690,690,124,42,690
From 1533227454 to 1533227484,76.43,94,206,477,0,1091,25,206,0,245,1185,1186,94,90,1185
From 1533227485 to 1533227514,51.8,128,131,357,0,596,29,131,0,159,724,725,128,60,724
From 1533227515 to 1533227544,68.03,148,202,357,0,948,17,202,0,233,1096,1096,148,45,1096
From 1533227545 to 1533227574,63.5,134,169,311,0,787,23,169,0,208,921,922,134,80,921
From 1533227575 to 1533227604,60.63,196,161,352,0,745,25,161,0,193,941,942,196,69,941
From 1533227605 to 1533227634,48.8,98,142,249,0,650,22,142,0,174,748,748,98,54,748
From 1533227635 to 1533227664,57.4,116,155,287,0,729,27,155,0,192,845,846,116,72,845
From 1533227665 to 1533227695,67.77,144,177,464,0,991,10,177,0,208,1135,1136,144,74,1135
From 1533227696 to 1533227725,52.93,90,155,265,0,692,16,155,0,188,782,783,90,43,782
From 1533227726 to 1533227755,70.47,122,188,547,0,904,17,188,0,218,1026,1027,122,63,1026
From 1533227756 to 1533227785,54.27,122,133,276,0,736,29,133,0,163,858,858,122,79,858
From 1533227786 to 1533227815,55.7,116,159,362,0,728,40,159,0,193,844,845,116,60,844
From 1533227816 to 1533227845,67.7,98,153,412,0,1013,12,153,0,186,1111,1111,98,86,1111
From 1533227846 to 1533227875,59.13,106,141,382,0,749,26,141,0,173,855,855,106,61,855
From 1533227876 to 1533227906,59.57,120,173,328,0,888,24,173,0,207,1008,1008,120,60,1008
From 1533227907 to 1533227936,63.23,104,162,339,0,846,30,162,0,197,950,951,104,84,950
From 1533227937 to 1533227966,46.73,92,131,245,0,626,37,131,0,164,718,719,92,51,718
From 1533227967 to 1533227996,53.17,118,120,303,0,732,37,120,0,157,850,850,118,76,850
From 1533227997 to 1533228026,50.3,154,141,304,0,676,37,141,0,174,830,831,154,60,830
From 1533228027 to 1533228056,60.73,140,156,369,0,804,15,156,0,187,944,944,140,60,944
From 1533228057 to 1533228087,64.33,130,182,371,0,894,22,182,0,216,1024,1024,130,68,1024
From 1533228088 to 1533228117,68.67,110,175,387,0,873,13,175,0,209,983,983,110,77,983
From 1533228118 to 1533228147,48.7,106,132,256,0,668,23,132,0,171,774,775,106,67,774
From 1533228148 to 1533228177,52.5,208,144,342,0,710,27,144,0,176,918,919,208,58,918
From 1533228178 to 1533228207,57.3,90,179,306,0,733,23,179,0,190,823,826,90,67,823
From 1533228208 to 1533228237,51.43,106,136,354,0,820,26,136,0,168,926,926,106,50,926
From 1533228238 to 1533228267,62.87,94,170,291,0,764,27,170,0,206,858,859,94,82,858
From 1533228268 to 1533228298,65.27,90,185,378,0,923,36,185,0,219,1013,1013,90,75,1013
From 1533228299 to 1533228328,51.13,104,150,264,0,672,23,150,0,181,776,776,104,45,776
From 1533228329 to 1533228358,73.23,122,202,493,0,1052,22,202,0,235,1174,1175,122,64,1174
From 1533228359 to 1533228388,66.87,116,186,407,0,773,18,186,0,214,889,889,116,72,889
From 1533228389 to 1533228418,65.63,144,173,316,0,875,25,173,0,208,1019,1020,144,61,1019
From 1533228419 to 1533228448,62.57,128,168,308,0,734,46,168,0,196,862,863,128,91,862
From 1533228449 to 1533228478,62.17,174,164,337,0,777,16,164,0,200,951,951,174,74,951
From 1533228479 to 1533228509,59.93,154,174,331,0,784,30,174,0,208,938,938,154,66,938
From 1533228510 to 1533228539,58.5,106,167,290,0,727,30,167,0,199,833,833,106,70,833
From 1533228540 to 1533228569,54.7,142,146,367,0,796,21,146,0,177,938,939,142,49,938
From 1533228570 to 1533228599,56.37,102,141,336,0,776,25,141,0,176,878,878,102,79,878
From 1533228600 to 1533228629,61.17,120,157,427,0,715,24,157,0,191,835,835,120,69,835
From 1533228630 to 1533228659,61.2,126,151,382,0,913,31,151,0,184,1039,1040,126,57,1039
From 1533228660 to 1533228690,66.57,108,195,329,0,835,29,195,0,226,943,944,108,76,943
From 1533228691 to 1533228720,61.37,72,140,443,0,816,11,140,0,168,888,888,72,56,888
From 1533228721 to 1533228750,65.4,118,148,405,0,703,31,148,0,185,821,821,118,83,821
From 1533228751 to 1533228780,61.1,132,154,308,0,826,12,154,0,188,958,958,132,64,958
From 1533228781 to 1533228810,55.13,120,145,282,0,697,34,145,0,180,817,818,120,77,817
From 1533228811 to 1533228840,57.77,92,125,304,0,723,18,125,0,154,815,816,92,88,815
From 1533228841 to 1533228870,60.83,124,151,353,0,717,20,151,0,182,841,842,124,76,841
From 1533228871 to 1533228901,60.1,130,184,323,0,797,22,184,0,218,927,927,130,59,927
From 1533228902 to 1533228931,55.73,150,141,361,0,744,15,141,0,171,894,895,150,45,894
