Period, CPUAvg, ConceptServiceImpl:929,ConceptServiceImpl:300,
From 1525976326 To 1525976356,88.0,396,33,
From 1525976356 To 1525976386,84.3,312,25,
From 1525976386 To 1525976416,86.1,320,32,
From 1525976416 To 1525976446,89.43,236,33,
From 1525976446 To 1525976476,84.43,202,39,
From 1525976476 To 1525976506,89.87,346,26,
From 1525976507 To 1525976537,83.93,352,38,
From 1525976537 To 1525976567,85.4,444,39,
From 1525976567 To 1525976597,84.6,416,37,
From 1525976597 To 1525976627,83.53,252,28,
From 1525976627 To 1525976657,86.93,322,26,
From 1525976657 To 1525976687,84.13,452,29,
From 1525976687 To 1525976717,88.3,308,34,
From 1525976718 To 1525976748,81.23,269,22,
From 1525976748 To 1525976778,87.63,343,36,
From 1525976778 To 1525976808,89.77,286,22,
From 1525976808 To 1525976838,82.3,286,33,
From 1525976838 To 1525976868,88.43,308,33,
From 1525976868 To 1525976898,75.37,408,28,
From 1525976898 To 1525976928,85.83,393,23,
From 1525976929 To 1525976959,84.03,381,26,
From 1525976959 To 1525976989,88.33,366,36,
From 1525976989 To 1525977019,93.33,354,21,
From 1525977019 To 1525977049,84.0,364,26,
From 1525977049 To 1525977079,83.9,408,27,
From 1525977079 To 1525977109,87.0,428,28,
From 1525977109 To 1525977139,86.43,306,36,
From 1525977139 To 1525977169,83.97,321,43,
From 1525977170 To 1525977200,83.53,389,31,
From 1525977200 To 1525977230,83.5,292,34,
From 1525977230 To 1525977260,82.63,348,25,
